title,date,description,media,tags,author,status,timestamp
Photography Day 2025,2025-08-18T18:00:00.000Z,"Photography takes an instant out of time, altering life by holding it still.  -Dorothea Lange, American photographer.Wishing Happy World Photography Day 2025 from UIU Photography Club!","[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1762799155/Blog04_taox6m.jpg"",""caption"":""Photography Day 2025""}]",,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:15:47.247Z
Vertex : Language discussion,2025-08-10T18:00:00.000Z,"We proudly presents another exciting chapter of Vertex!

This time, we dive into Language Discussion, where photography meets the art of storytelling through words, visuals and expressions. Join us for an engaging session filled with creative exchanges, thought-provoking conversations!","[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1762797135/Blog03_jpaqiw.jpg"",""caption"":""Vertex : Language discussion""}]",vertex,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:21:53.022Z
Media Fest 2025 Achievements,2025-09-29T18:00:00.000Z,"UIU Media Fest 2025 celebrated the brightest talents in creativity, storytelling and we are proud to announce that our very own Executive Members shined with their remarkable achievements! Minhaz Hossain Shemul secured the 1st Runner-up in the Photography Segment, capturing powerful stories! Zannatul Amin Anika, Mayesha Tun Nur, and Jonayed Shah Jesun achieved the 1st Runner-up in the Media Quiz Competition, showcasing their sharp knowledge and passion for media studies. Your hard work, creativity and dedication truly reflect the spirit of excellence that defines UIUPC. Keep inspiring and reaching new milestones!","[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1762796842/Blog01_rcdns7.jpg"",""caption"":""Media Fest 2025 Achievements""},{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1762796842/Blog02_r0zkvb.jpg"",""caption"":""Media Fest 2025 Achievements""}]","mediaFest,Winners",photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:23:05.981Z
Something is cooking??,2025-11-10T18:00:00.000Z,"Exciting news is on the horizon! UIU Photography Club is thrilled to announce that we are cooking up something special just for you. Stay tuned for an upcoming event that promises to ignite your creativity and passion for photography. Get ready to capture moments, learn new skills, and connect with fellow photography enthusiasts. Keep an eye on our page for more details coming soon!","[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1762799836/Blog5_lbkrue.png"",""caption"":""Something is cooking??""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:24:10.114Z
Whats happening at UIUPC?,2025-11-13T18:00:00.000Z,Happening something crazy or not! Let's See! Stay tune with UIUPC.,"[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1763063064/Blog6_x6ywrm.jpg"",""caption"":""Whats happening at UIUPC?""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:25:05.365Z
Shutter Stories Chapter IV Identity Revealed!,2025-11-13T18:00:00.000Z,"The moment has finally arrived; United Healthcare Presents Shutter Stories Chapter IV unveils its official identity. The legacy continues as we prepare for yet another national gathering of photographers and storytellers. With fresh energy and limitless possibilities, this chapter is set to define creativity. The Call for Photo goes live soon. Stay tuned!","[{""type"":""video"",""url"":""https://res.cloudinary.com/do0e8p5d2/video/upload/v1763138349/Shutter_Stories_Chapter_4_-_2025_Promo_glsjvm.mp4"",""caption"":""Shutter Stories Chapter IV Identity Revealed!""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:27:42.935Z
Shutter Stories Chapter IV Call for Photo,2025-11-14T18:00:00.000Z,The legacy continues as we prepare for yet another national gathering of photographers and storytellers. United Healthcare Presents Shutter Stories Chapter IV.  Call for Photo is live now! For submission visit: https://uiupc.vercel.app/ Facebook Event: https://www.facebook.com/share/17si8WcNeF/ ,"[{""type"":""image"",""url"":""https://res.cloudinary.com/do0e8p5d2/image/upload/v1763223291/Blog_7_suqqrn.jpg"",""caption"":""Shutter Stories Chapter IV Call for Photo""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-18T21:29:40.780Z
Prize Pool of Shutter Stories Chapter IV,2025-11-19T18:00:00.000Z,"Shutter Stories has always been built by its people, photographers and storytellers. As we open Chapter IV, we invite you to become part of the legacy that has grown from a single idea into a nationwide celebration of visual art. 
This year, we’re offering an exciting 50K prize pool dedicated to celebrating outstanding photographs and visual stories across the country. It’s your chance to showcase your talent, gain recognition, and join the ranks of previous winners who have made their mark. 
Submit Now! Link in the comments! ","[{""type"":""image"",""url"":""https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/586059429_1137160955260710_5275389386036451871_n.jpg?stp=dst-jpg_s206x206_tt6&_nc_cat=105&ccb=1-7&_nc_sid=714c7a&_nc_eui2=AeG0fI2qCkRphdRPP4uEwgliJP55hcRkATgk_nmFxGQBOENue0vi5Hq-9At8K_HjiiehKaAl88MBcjLLvK_EU9hf&_nc_ohc=UapcTSImc2QQ7kNvwFiw9td&_nc_oc=Adka38FsXABJdJio2BtC_yvOJgOkwUmukDvG_uT9lJzjSMZsFaW49taKpQrdpMrMIR4&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=3vyjSe6OnCMXQfbJ7sTZZA&oh=00_AflGC0vFfMufLl92vK5rWq5_2g5XXCDMG9QGWpWpSyW_HA&oe=693770A4"",""caption"":""Prize Pool of Shutter Stories Chapter IV""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-20T16:58:31.549Z
Judge Announcement - Shutter Stories Chapter IV,2025-11-22T18:00:00.000Z,"Introducing the first judge for Shutter Stories: Chapter IV, Mahmud Hossain Opu (@mahmudhossainopu), a distinguished visual journalist with global recognition. A documentary photographer whose work has appeared in The New York Times, National Geographic, The Economist and major agencies like AP, Reuters, AFP, Getty Images.
Call for Photo is Live! Link in the comments. ","[{""type"":""image"",""url"":""https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/589596767_1139899308320208_3749496795622275660_n.jpg?stp=dst-jpg_s206x206_tt6&_nc_cat=109&ccb=1-7&_nc_sid=714c7a&_nc_eui2=AeHReuigw9k-fUDIr7l0GhcV8BZalOPjbOnwFlqU4-Ns6aZpHSCIW0H61XeXLiokpLr5E-DInFCEjvBNw84lXiZJ&_nc_ohc=OgHxfsLHNhQQ7kNvwGlwi06&_nc_oc=AdnD8ToWebQWAtceqMpasV9f-LlNLu0HSwu8aaBPe1UI9DV1DHN2G1-JBW9hYpplGtU&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=IsZ-V0GBbaq8f7TshcObSg&oh=00_AflS2pKn611D01Ba18b_z5zXTkdlUhA85ardg3yBJpyCZw&oe=69377C0A"",""caption"":""Judge Announcement - Shutter Stories Chapter IV""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-23T16:56:55.901Z
Club Partners_Shutter Stories Chapter IV,2025-11-24T18:00:00.000Z,"United Healthcare Presents Shutter Stories Chapter IV is powered by the strength of a nationwide community.
We’re proud to collaborate with photography clubs from various schools, colleges and universities across Bangladesh, each contributing to celebrate of storytelling. This collaboration makes this journey stronger and more meaningful. Together, we build the legacy.
Call for Photo is Live now! For submission: Call for Photo: Shutter Stories Chapter IV","[{""type"":""image"",""url"":""https://scontent.fdac5-1.fna.fbcdn.net/v/t39.30808-6/590398662_1141357674841038_1369968633575952924_n.jpg?stp=dst-jpg_s206x206_tt6&_nc_cat=105&ccb=1-7&_nc_sid=714c7a&_nc_eui2=AeEvg_DY5DaWtEHub2CEg5lSuhSUIPOp6Xi6FJQg86npeJJDByd0NKg2R6urpUWBceT82eB9u3uPxhB98eK2eX2m&_nc_ohc=WeMyoxhCizsQ7kNvwHoZ2c4&_nc_oc=AdmBvAuqLgtfX5HYADbmEz7RdWTX4rHmjUwvio0UKlea7AtWWLSIuB7k0Za902lm58s&_nc_zt=23&_nc_ht=scontent.fdac5-1.fna&_nc_gid=1MgckTZaGDePLLbe8N22Ew&oh=00_AfmYNuTNWuPMvXYWPpeoKRGIzv-tfey29AVXoRRJEd724g&oe=693766BA"",""caption"":""Club Partners_Shutter Stories Chapter IV""}]",ShutterStories,photographyclub@dccsa.uiu.ac.bd,published,2025-11-25T15:58:44.703Z
